nanosecs,vx,vy,vz,timestamp,time
1697719865452048685,"('vx', -0.0138788)","('vy', -0.0264868)","('vz', 0.002664)",1697719865420274,0
1697719865630691630,"('vx', -0.0114895)","('vy', -0.0239402)","('vz', 0.00250928)",1697719865598445,0.178
1697719865833962333,"('vx', -0.0129111)","('vy', -0.0245058)","('vz', 0.00174243)",1697719865801677,0.381
1697719866025896445,"('vx', -0.0126758)","('vy', -0.024633)","('vz', 0.00380127)",1697719865992875,0.572
1697719866223271392,"('vx', -0.0106979)","('vy', -0.023846)","('vz', 0.00289504)",1697719866189498,0.769
1697719866402379234,"('vx', -0.00926444)","('vy', -0.0241552)","('vz', 0.00279809)",1697719866369497,0.949
1697719866601167438,"('vx', -0.00855516)","('vy', -0.0228004)","('vz', 0.00342184)",1697719866568184,1.148
1697719866782727629,"('vx', -0.00961997)","('vy', -0.0213744)","('vz', 0.00387508)",1697719866749964,1.33
1697719866971281236,"('vx', -0.00977445)","('vy', -0.0223992)","('vz', 0.00457164)",1697719866937418,1.517
1697719867175238162,"('vx', -0.00871425)","('vy', -0.0216109)","('vz', 0.00392213)",1697719867141528,1.721
1697719867372533177,"('vx', -0.00900525)","('vy', -0.0230574)","('vz', 0.00319394)",1697719867339773,1.919
1697719867567234842,"('vx', -0.0107981)","('vy', -0.0242698)","('vz', 0.00373839)",1697719867533592,2.113
1697719867764692763,"('vx', -0.0125724)","('vy', -0.0237393)","('vz', 0.00427921)",1697719867732058,2.311
1697719867944930725,"('vx', -0.0107637)","('vy', -0.0230139)","('vz', 0.00290508)",1697719867912099,2.491
1697719868150908399,"('vx', -0.00920564)","('vy', -0.0232477)","('vz', 0.00341485)",1697719868118026,2.697
1697719868325562357,"('vx', -0.01032)","('vy', -0.0224648)","('vz', 0.00411941)",1697719868291933,2.871
1697719868709047384,"('vx', -0.010353)","('vy', -0.020679)","('vz', 0.00499264)",1697719868674835,3.254
1697719868902293655,"('vx', -0.00877689)","('vy', -0.0195505)","('vz', 0.00421662)",1697719868869541,3.449
1697719869103142285,"('vx', -0.0080198)","('vy', -0.0196791)","('vz', 0.00387705)",1697719869070512,3.65
1697719869291186868,"('vx', -0.00976297)","('vy', -0.0221205)","('vz', 0.00543575)",1697719869257279,3.837
1697719869512034087,"('vx', -0.0101676)","('vy', -0.0228817)","('vz', 0.00394365)",1697719869479764,4.059
1697719869687711534,"('vx', -0.0109942)","('vy', -0.0208294)","('vz', 0.00400442)",1697719869654099,4.233
1697719869877045894,"('vx', -0.0123358)","('vy', -0.0219171)","('vz', 0.00411928)",1697719869844146,4.423
1697719870076014607,"('vx', -0.0106501)","('vy', -0.0206515)","('vz', 0.00300657)",1697719870042430,4.621
1697719870274850859,"('vx', -0.00904021)","('vy', -0.0208519)","('vz', 0.00301453)",1697719870242134,4.821
1697719870468479003,"('vx', -0.00945478)","('vy', -0.0215685)","('vz', 0.00346147)",1697719870435582,5.014
1697719870667324217,"('vx', -0.0108974)","('vy', -0.0206617)","('vz', 0.00369486)",1697719870634714,5.213
1697719870851457740,"('vx', -0.0118371)","('vy', -0.0217468)","('vz', 0.00345178)",1697719870817736,5.396
1697719871054558069,"('vx', -0.00939614)","('vy', -0.0203914)","('vz', 0.0039101)",1697719871021485,5.6
1697719871251017481,"('vx', -0.00841102)","('vy', -0.0201187)","('vz', 0.00326533)",1697719871217696,5.796
1697719871443422433,"('vx', -0.00889491)","('vy', -0.0202719)","('vz', 0.00231521)",1697719871410872,5.989
1697719871642139585,"('vx', -0.0105679)","('vy', -0.0204408)","('vz', 0.00196324)",1697719871609106,6.187
1697719871834638759,"('vx', -0.0104156)","('vy', -0.0207727)","('vz', 0.00312739)",1697719871801605,6.379
1697719872024461457,"('vx', -0.00912248)","('vy', -0.0196327)","('vz', 0.00302506)",1697719871990546,6.568
1697719872222852027,"('vx', -0.00886662)","('vy', -0.0211894)","('vz', 0.00254657)",1697719872189952,6.767
1697719872415850989,"('vx', -0.00968266)","('vy', -0.0202873)","('vz', 0.00085217)",1697719872382403,6.959
1697719872608234414,"('vx', -0.0101007)","('vy', -0.0196232)","('vz', 0.000647564)",1697719872574715,7.151
1697719872781659663,"('vx', -0.00992433)","('vy', -0.0198374)","('vz', 0.00147394)",1697719872747972,7.324
1697719872983435121,"('vx', -0.00803961)","('vy', -0.0187274)","('vz', 0.00207339)",1697719872950556,7.527
1697719873182255569,"('vx', -0.00877868)","('vy', -0.0185614)","('vz', 0.00261059)",1697719873148607,7.725
1697719873383292982,"('vx', -0.00996429)","('vy', -0.0193098)","('vz', 0.00219345)",1697719873349621,7.926
1697719873582958600,"('vx', -0.0112954)","('vy', -0.0206968)","('vz', 0.00295254)",1697719873549527,8.126
1697719873752995765,"('vx', -0.0096748)","('vy', -0.0205557)","('vz', 0.00350503)",1697719873720352,8.297
1697719873942360404,"('vx', -0.00972311)","('vy', -0.0219297)","('vz', 0.00337629)",1697719873909695,8.486
1697719874146591801,"('vx', -0.0109588)","('vy', -0.0228952)","('vz', 0.00388845)",1697719874113419,8.69
1697719874353726243,"('vx', -0.011332)","('vy', -0.0218736)","('vz', 0.00497803)",1697719874319965,8.897
1697719874524663654,"('vx', -0.0125701)","('vy', -0.0224932)","('vz', 0.00421372)",1697719874490872,9.068
1697719874722409950,"('vx', -0.0109341)","('vy', -0.0223401)","('vz', 0.00464552)",1697719874688014,9.265
1697719874916286616,"('vx', -0.0107281)","('vy', -0.0232218)","('vz', 0.00423506)",1697719874881852,9.459
1697719875106924280,"('vx', -0.010612)","('vy', -0.0224449)","('vz', 0.00364094)",1697719875074302,9.651
1697719875307038215,"('vx', -0.0122325)","('vy', -0.0234352)","('vz', 0.00437996)",1697719875273651,9.85
1697719875504168521,"('vx', -0.0121573)","('vy', -0.0219468)","('vz', 0.00508095)",1697719875471364,10.048
1697719875699080512,"('vx', -0.00909966)","('vy', -0.0206765)","('vz', 0.00476163)",1697719875665864,10.242
1697719875872594838,"('vx', -0.00959916)","('vy', -0.0203747)","('vz', 0.00511479)",1697719875839740,10.416
